id,name,host_id,location,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,review_scores_rating,cancellation_policy
13713445,Verona's Victorian Charm (# 6) M314 SPECIAL $155,32532791,"Chandler Street, Boston, MA 02116, United States",South End,2116,42.34685534,-71.07214127,Townhouse,Private room,2,1,1,1,$170.00,3,100,strict
13078068,Sweet South End Digs,46488030,"Montgomery Street, Boston, MA 02116, United States",South End,2116,42.34476412,-71.07276299,Condominium,Entire home/apt,2,1,1,1,$160.00,5,90,flexible
7095658,2 Bed South End-Roof Deck-Dog Park!,37189820,"Shawmut Avenue, Boston, MA 02118, United States",South End,2118,42.34042312,-71.07512874,Apartment,Entire home/apt,4,1,2,2,$199.00,2,90,flexible
8096900,Spacious South End Apartment,39652496,"East Brookline Street, Boston, MA 02118, United States",South End,2118,42.33857763,-71.06929004,Apartment,Entire home/apt,4,1,2,1,$160.00,1,90,moderate
6426364,Great city views top floor one bed #7,9653086,"Tremont Street, Boston, MA 02118, United States",South End,2118,42.34175232,-71.07533351,Apartment,Entire home/apt,4,1,1,1,$200.00,1,95,strict
4787233,2 BR Apt Boston South End,4897723,"Massachusetts Avenue, Boston, MA 02118, United States",South End,2118,42.34099239,-71.08019689,Apartment,Entire home/apt,4,1.5,2,2,$200.00,1,93,strict
7916575,"Columbus Ave By Maverick,ThirtyFive",22348222,"Columbus Avenue, Boston, MA 02116, United States",South End,2116,42.34529648,-71.07748818,Apartment,Entire home/apt,2,1,0,1,$150.00,7,,strict
12094488,"Great Spot - South End, 2 BR Condo",64837202,"Union Park Street, Boston, MA 02118, United States",South End,2118,42.34124312,-71.06691067,Condominium,Entire home/apt,2,1,2,2,$350.00,2,100,flexible
8211468,Cozy South End Studio For Two,4407416,"Dartmouth Street, Boston, MA 02116, United States",South End,2116,42.34494493,-71.07599094,Apartment,Entire home/apt,2,1,1,1,$139.00,1,95,moderate
1428355,Stay in the heart of South End!,7422781,"Dwight Street, Boston, MA 02118, United States",South End,2118,42.33825951,-71.07091546,Apartment,Entire home/apt,2,1,0,1,$80.00,1,96,moderate
12290886,South End Suite Vacation Rental M365-1,32532791,"Braddock Park, Boston, MA 02116, United States",South End,2116,42.34507883,-71.0774001,Apartment,Entire home/apt,4,1,1,2,$215.00,3,80,strict
526970,BACK BAY/COPLEY FIRST FLOOR ROOM,85770,"Chandler St, Boston, MA 02116, United States",South End,2116,42.34522988,-71.07282284,House,Private room,2,1,1,1,$130.00,1,90,moderate
2395326,Classic South End Brownstone-1 BR,12230539,"Dartmouth Street, Boston, MA 02116, United States",South End,2116,42.34643269,-71.07091582,Condominium,Entire home/apt,2,1,1,1,$183.00,1,97,strict
10734159,"BMC, Symphony T, NE, BU, Berklee!!",21184200,"Massachusetts Avenue, Boston, MA 02118, United States",South End,2118,42.33936471,-71.07942867,Apartment,Entire home/apt,8,1,2,2,$188.00,2,98,strict
8014383,Boston South End Niche (M327) Short notice deals,32532791,"West Newton Street, Boston, MA 02118, United States",South End,2118,42.34344058,-71.07737512,Apartment,Entire home/apt,2,1,1,1,$215.00,3,80,strict
4609785,Great room in Boston's South End!,16522894,"Massachusetts Avenue, Boston, MA 02118, United States",South End,2118,42.33538409,-71.07521684,Apartment,Private room,2,1,1,1,$75.00,1,93,flexible
5867761,Lovely Apartment in South End,6252491,"Union Park Street, Boston, MA 02118, United States",South End,2118,42.34310593,-71.06896985,Apartment,Private room,1,1,1,1,$45.00,1,,flexible
5834930,Lovely Back Bay/South End Apt!,7726008,"Dartmouth Street, Boston, MA 02116, United States",South End,2116,42.34606839,-71.07646139,Apartment,Private room,2,1,1,1,$125.00,1,85,flexible
8309604,Back Bay / South End - best of both,4127253,"Clarendon Street, Boston, MA 02116, United States",South End,2116,42.34663651,-71.07398975,Apartment,Entire home/apt,4,1,2,2,$290.00,2,100,moderate
7965521,South End 1 Bedroom PERFECTION!,22110106,"Dartmouth Street, Boston, MA 02116, United States",South End,2116,42.34450692,-71.07389619,Apartment,Entire home/apt,2,1,1,1,$215.00,1,99,moderate
1401625,[1293-1/1] Lovely 1 BR in South End,25188,"Columbus Avenue, Boston, MA 02118, United States",South End,2118,42.34403615,-71.07889173,Apartment,Entire home/apt,2,1,1,1,$255.00,2,100,super_strict_30
11470818,Brownstone on Charming Dead End St.,32870796,"West Rutland Square, Boston, MA 02118, United States",South End,2118,42.34197616,-71.08127587,Apartment,Entire home/apt,2,1,1,1,$300.00,2,100,strict
13928400,Comfy Roof Top Access Near Everything,47283683,"East Springfield, Boston, MA 02218, United States",South End,2218,42.33477502,-71.07437567,Apartment,Private room,2,1,1,1,$169.00,2,,moderate
11634638,Private Room in Southend,3987348,"Appleton Street, Boston, MA 02116, United States",South End,2116,42.34535203,-71.07355082,Apartment,Private room,1,1,1,1,$140.00,1,,moderate
8406972,Classic Boston Brownstone,10115868,"Boston, MA 02118, United States",South End,2118,42.34045937,-71.08035799,Apartment,Entire home/apt,5,1,1,1,$250.00,3,98,strict
5768819,"Columbus Avenue By Maverick, Four",22348222,"Columbus Avenue, Boston, MA 02116, United States",South End,2116,42.34418593,-71.07608517,Apartment,Entire home/apt,2,1,0,1,$155.00,7,87,strict
5588537,"Private Roof-Deck, South End PH Apt",28972872,"Montgomery Street, Boston, MA 02116, United States",South End,2116,42.34414099,-71.07226297,Apartment,Entire home/apt,2,1,2,1,$200.00,1,100,strict
10656899,Great room in Boston's South End,4897723,"Massachusetts Avenue, Boston, MA 02118, United States",South End,2118,42.34036819,-71.08015136,Apartment,Private room,2,1.5,1,1,$119.00,1,93,strict
6276572,Beautiful South End Brownstone,11071285,"Columbus Avenue, Boston, MA 02118, United States",South End,2118,42.34098695,-71.07972835,Apartment,Entire home/apt,2,1,1,1,$189.00,2,96,moderate
625012,Boston Proper Duplex Great LOCATION,3100734,"Lawrence Street, Boston, MA 02116, United States",South End,2116,42.34707085,-71.07246979,Apartment,Private room,2,1.5,1,1,$250.00,2,96,strict
13912472,102 Chandler Street by Lyon Apartments,82529160,"Chandler Street, unit, Boston, MA 02116, United States",South End,2116,42.34709173,-71.07430619,Apartment,Entire home/apt,4,1,1,2,$254.00,2,98,super_strict_30
